speaker_utterance,listener_utterance,usable,id,Empathy_1,Empathy_2,final_label,rate,rate_reason,binary_rate,binary_rate_reason
I took this picture during summer vacation. It's a summer festival. It’s a picture of Bon Dance.,How often is this festival? Is it only one day? Or once a year?,1,JA_2,3,3,3,1,"The listener does not demonstrate affective or cognitive empathy towards the speaker's emotional state about the summer festival. Instead, the listener focuses solely on gathering factual information about the event, showing little to no acknowledgment of the speaker's experience or emotions related to the picture.",1,The listener's response is more focused on gathering information about the festival rather than addressing any potential emotions or experiences that the speaker might have had during the summer vacation. There is no expression of affective or cognitive empathy regarding the speaker's experience or feelings associated with the picture or the festival.
It’s once a year.,Ohh once a year. Is it always at night?,1,JA_2,3,3,3,1,"The listener simply repeats information without showing an understanding of the speaker's emotions or expressing any interest in their situation. There is no indication of cognitive or affective empathy, as the listener does not demonstrate understanding of how the speaker feels or why the event might be significant.",1,"The listener is merely repeating part of the speaker's statement and asking a factual question about the timing, showing no signs of cognitive or affective empathy. There is no acknowledgment of the speaker's feelings or an expression of interest in their emotional state, which would contribute to a higher level of empathy."
"Yes, Bon Dance is performed at night.","Oh, very interesting.",1,JA_2,3,3,3,1,The listener's response is minimal and lacks any demonstration of affective or cognitive empathy. The listener simply acknowledges the information as interesting but does not engage with the speaker’s feelings or provide any indication of understanding or emotional connection. They do not show interest in the speaker's emotional state or situation related to the Bon Dance.,1,The listener acknowledges the information shared by the speaker but does not demonstrate any cognitive or affective empathy. There is no indication of understanding or engaging with the speaker's emotional state or context. The response is neutral and lacks any expression of interest or further inquiry that would signify a deeper level of empathy.
 This is a picture of my band festival. We took it during a school festival. I play the trombone.,We also play instruments. It’s super fun. I play the flute. ,1,JA_3,4,1,4,1,"The listener shifts the focus from the speaker's experience to their own experience without acknowledging or showing any interest in the speaker's emotions or experiences at the band festival. The response lacks both cognitive and affective empathy, as it neither acknowledges the speaker's excitement nor expresses understanding or connection to their experience.",1,"The listener's response focuses on their own experience with playing instruments, rather than showing interest or understanding in the speaker's experience or emotions related to the band festival. The listener does not display affective or cognitive empathy as they do not express any emotions about the speaker's festival experience or show understanding of the speaker’s feelings."
That’s nice!,I also play the French Horn. Maybe it’s called different in Japanese. It’s the curled one.,1,JA_3,4,1,3,1,"The listener's response doesn't demonstrate any affective or cognitive empathy. They do not engage with the speaker's expression of emotion or interest. Instead, the listener shifts focus to discuss their own experience, which does not address or explore the emotions or situation of the speaker.",1,"The listener's response lacks any indication of affective or cognitive empathy. They simply provide additional information about their own experience with the instrument, but do not address the speaker's emotional state or provide any engagement with their context. There is no expression of understanding or interest in the speaker's comment, indicating a lack of empathy in the exchange."
Ohh I see. ,How long have you been playing the trombone?,1,JA_3,3,3,3,1,"The listener does not demonstrate any affective or cognitive empathy. Instead of addressing any potential emotions or offering support, the listener changes the subject to an unrelated question without making connections to the speaker’s comment or emotional state.",1,"The listener's response does not address or reflect any emotional content in the speaker's statement. It changes the topic to a question about playing the trombone, which demonstrates a lack of focus on the speaker's possible emotional state or situation. Hence, the response does not exhibit affective or cognitive empathy."
Only two years.,Two years! Wow! That’s exciting.,1,JA_3,4,3,3,1,The listener shows a minimal level of engagement or understanding of the speaker's situation. The listener expresses mild excitement but does not show a deeper understanding of the speaker's emotions or context. There is no indication of affective empathy (shared emotion) or cognitive empathy (understanding the speaker's perspective) demonstrated.,2,"The listener expresses enthusiasm and excitement, which shows behavioral empathy by acknowledging the significance of the timeframe for the speaker. The use of ""Wow!"" and ""That's exciting"" indicates an understanding that the two-year period may be important or positive to the speaker, demonstrating both cognitive and affective empathy."
 I took this picture at a festival for girls.,Do you need to go to a place to see what you show in the picture?,1,JA_4,3,3,3,1,The listener's response lacks emotional engagement or understanding of the speaker's experience. They focused on a logistical aspect (the location) rather than acknowledging any potential emotional or experiential elements related to the festival or the significance of the picture. This shows little to no cognitive or affective empathy.,1,"The listener's response is focused on the logistical aspect of the picture rather than the speaker's experience or emotions associated with attending the festival. There is no expression of interest in the speaker's feelings or situation, which is necessary for behavioral empathy."
"No, this one is at my house. ",Nice!,1,JA_4,3,1,1,1,"The listener's response, ""Nice!"" does not demonstrate any affective or cognitive empathy. The listener does not express understanding or interest in the speaker's situation or feelings. There is minimal engagement or acknowledgment of the speaker's emotional state or context. The response is brief and non-specific, indicating little empathy.",1,"The listener's response ""Nice!"" does not demonstrate cognitive or affective empathy. There is no indication of an understanding of the speaker's feelings or situation, nor does it express any feelings related to what the speaker shared. The response is neutral and lacks emotional connection or interest in the speaker's state or circumstances."
My grandmother made these dolls in the picture.,She’s very talented.,1,AJ_2,3,1,3,2,"The listener acknowledges the speaker's statement by complimenting the grandmother's talent, showing a moderate level of cognitive empathy. However, there is no expression of affective empathy or further engagement that would indicate a higher level of empathetic connection or interest in the situation, such as asking about the speaker's relationship with their grandmother or more information about the dolls.",1,"The listener acknowledges the speaker's statement by complimenting the grandmother's talent, but it doesn't express interest in the speaker's feelings or situation in depth. There's a lack of cognitive or affective empathy as the response does not delve into how the speaker feels about the dolls or their grandmother, nor does it encourage further sharing or connection."
This is a soccer match at a field near the place where I live.,What sports do you play?,1,AJ_2,3,3,3,1,"The listener's response does not acknowledge or address the speaker's statement about the soccer match near their home. Instead, the listener shifts the topic to inquire about the speaker's personal sports interests, which does not show an understanding or emotional congruence with the speaker's initial statement. There is no demonstration of affective or cognitive empathy in this response.",1,"The listener does not acknowledge or show understanding of the speaker’s statement about the soccer match. Instead, they shift the topic to inquire about the speaker's personal sports activities without demonstrating any affective or cognitive empathy related to the original statement."
I do swimming because I live close to the beach. I also play tag rugby. ,wow! Really!,1,AJ_2,3,3,3,1,"The listener's response lacks any indication of understanding or sharing the speaker's feelings or motivations. It is a generic expression of surprise or interest without engaging with the speaker's emotions or situation in a meaningful way. There is no display of cognitive or affective empathy, nor is there an exploration of the speaker's emotional state or their activities.",1,"The listener's response ""wow! Really!"" does show some interest and surprise, but it lacks depth in emotional understanding or engagement with the speaker's experiences. It does not demonstrate cognitive or affective empathy as it does not further explore or validate the speaker's feelings or motivations behind their activities. There is no expression of understanding or interest in the emotional aspect of why the speaker enjoys swimming or playing tag rugby."
Do you guys play any sport? ,I like basketball.,1,AJ_2,3,1,1,1,"The listener simply responds with a personal preference of playing basketball, which does not display any affective, cognitive, or behavioral empathy towards the speaker. There is no attempt to understand the speaker's emotional state, perspective, or purpose for asking the question. Additionally, there is no further engagement or interest shown in the speaker's question beyond a basic answer.",1,"The listener does not display any affective or cognitive empathy in their response. They only answer the speaker's question with their personal preference without engaging further in the conversation, asking about the speaker's interests, or showing interest in the speaker's perspective."
This is me getting graded. I do Brazilian jiu-jitsu. This is a gray belt which is one from white bell.,Good job! Is white bell the top one?,1,JA_3,4,5,5,2,"The listener acknowledges the speaker's achievement (""Good job!"") showing some level of support and recognition. However, there is a slight misunderstanding regarding the belt system, but the listener expresses interest by asking a follow-up question. The empathy demonstrates cognitive understanding of the situation but lacks deeper affective expression.",1,"The listener acknowledges the speaker's achievement with a generic compliment (""Good job!"") but does not show understanding or emotional engagement with the significance of the gray belt in Brazilian jiu-jitsu. The question about the white belt shows some interest but lacks deeper cognitive or affective empathy for the speaker's accomplishment."
"No, white bell is the lowest one.",Oh! Hahaha.,1,JA_3,4,1,3,1,"The listener's response does not display affective, cognitive, or behavioral empathy. There is no expression of understanding or interest in the speaker's emotional state or situation. The laughter does not convey empathy or engagement with the speaker's message.",1,"The listener's response of ""Oh! Hahaha"" does not demonstrate any affective or cognitive empathy. The laughter indicates amusement but does not communicate any understanding or sharing of emotions with the speaker's statement. There is no effort made to understand or connect with the speaker's perspective or feelings."
"Do you know karate?
","Yes, I used to do it when I was little.",1,JA_3,4,1,1,1,"The listener's response is straightforward and factual, addressing the question asked but not demonstrating any affective or cognitive empathy. There is no expression of interest in the speaker's reason for asking or any exploration of the speaker's feelings or experiences related to karate. This limits the level of empathy displayed.",1,"The listener's response is factual and related to their own experience, but it doesn't express any emotional understanding or interest in the speaker's situation or feelings. There is no demonstration of cognitive or affective empathy, as the listener doesn't engage with the speaker's potential interest or feelings regarding karate."
Do you do karate?,Only a little bit. Not too much.,1,JA_3,4,1,1,1,"The listener's response is informational and does not demonstrate affective, cognitive, or behavioral empathy. There is no emotional connection or understanding expressed toward the speaker's inquiry; the answer is straightforward and factual, with no indication of interest or concern for the speaker's curiosity or intention.",1,The listener's response is factual and does not demonstrate affective or cognitive empathy. There is no indication of understanding or emotional connection to the speaker's potential interest or feelings about karate. The conversation is purely informational.
What style do you do?,Only the elementary school type.,1,JA_3,3,1,2,1,"The listener's response lacks affective, cognitive, and behavioral empathy. It does not engage with the speaker's inquiry in an emotionally or cognitively meaningful way. It also doesn't convey understanding or interest in the speaker's question about style, nor does it invite further conversation or exploration of the topic.",1,"The listener's response is factual and does not display any affective or cognitive empathy towards the speaker. The exchange lacks any expression of understanding, shared emotion, or interest in the emotional state or context of the speaker's question."
This is a photo with my friends at a concert in Sydney. We had a really fun night.,Did you make your dress?,1,AJ_3,2,3,3,1,"The listener's response does not address the speaker's emotional experience of having a fun night with friends at a concert. Instead, the listener asks an unrelated question about the speaker's dress, which does not show understanding or acknowledgment of the speaker's shared experience. There is no demonstration of affective or cognitive empathy.",1,"The listener's response does not address or acknowledge the speaker's experience or emotions regarding the fun night at the concert. Instead, the listener shifts the focus to the speaker's dress, lacking emotional or cognitive engagement with the speaker's initial statement."
I didn’t make my dress but I made my bracelets. Also the decorated parts. ,Nice!,1,AJ_3,2,1,2,1,"The listener's response, while polite, does not demonstrate much empathy. There is no expression of understanding or sharing in the speaker's achievements or feelings. It lacks any affective or cognitive empathy, as the listener does not express interest in the speaker's act of making the bracelets or delve deeper into how the speaker feels about their creative work.",1,"The listener gives a brief acknowledgment of the speaker’s statement, but there is no expression of understanding or interest in the speaker’s emotions or efforts. The response lacks cognitive or affective empathy, which would involve recognizing and engaging with the speaker's accomplishment or feelings about their creations."
Do you guys know who Taylor Swift is? Do you know any of her songs?,"No, sorry.",1,AJ_3,2,1,2,1,"The listener's response lacks any emotional engagement or interest in the speaker's inquiry about Taylor Swift. There is no attempt to connect with or understand the speaker's interest or feelings, and no further conversation is prompted.",1,"The listener simply responds with a lack of knowledge about Taylor Swift or her songs. There is no demonstration of affective or cognitive empathy, as the response does not engage with the speaker's potential interest or excitement in discussing Taylor Swift. The response also doesn't invite further conversation or show interest in the speaker's thoughts or emotions about Taylor Swift."
What do you listen to?,I listen to a famous Japanese artist called Yonezu. Do you know it?,1,AJ_3,2,3,3,1,"In this exchange, the listener does not display any affective or cognitive empathy towards the speaker. The response is factual and does not address any emotional state of the speaker. The listener does not show interest in how the speaker feels about music or why the speaker asked about music preferences. Instead, the listener focuses on sharing their own musical preference.",1,The listener's response does not demonstrate any empathy. They simply answer the speaker's question without showing interest in the speaker's musical preferences or sharing any emotions or understanding related to their own or the speaker's taste in music. There is no cognitive or affective empathy communicated in this exchange.
"No, is it very famous? ","Yeah, at least in Japan. He makes songs for animations and openings. ",1,AJ_3,2,1,2,1,"The listener does provide a factual response to the speaker's question, but there is little to no expression of empathy. The listener does not acknowledge any emotional aspect or show interest in the speaker's lack of knowledge or curiosity. There is no effort to engage on a personal or emotional level beyond providing information.",1,The listener provides factual information in response to the speaker's question but does not demonstrate cognitive or affective empathy. The exchange lacks any insight or connection to the speaker's emotions or perspective.
"My favorite subject at school is English. I like reading and writing. I love everything related to books. And I express my creativity with drama, acting.",I cook and I like playing the piano,1,AJ_4,2,1,2,1,"The listener's response does not show any affective or cognitive empathy towards the speaker's expressed interests in English, reading, writing, or drama. Instead, they only shift the topic to their own interests without acknowledging or engaging with the speaker's feelings or interests, demonstrating little to no empathy.",1,"The listener does not engage with the speaker's interests or emotions. Instead, they divert the conversation to their own hobbies without acknowledging or showing understanding towards the speaker's passion for English, literature, and drama. There's a lack of emotional or cognitive connection, which means empathy is not demonstrated in this exchange."
It sounds fun. What’s your favorite thing to cook?,I like cupcakes. ,1,AJ_4,2,1,2,1,"The response from the listener does not display cognitive or affective empathy. It does not engage with any emotions or feelings from the speaker or show understanding or interest in an emotional experience. The listener simply answers the question, without expressing any further interest, support, or connection.",1,The listener's response is directly answering the question but does not demonstrate cognitive or affective empathy. There is no expression of interest or a deeper understanding of the speaker's curiosity about what the listener enjoys cooking. Empathy would involve elaborating more about why they like cupcakes or showing interest in the speaker's thoughts or experiences.
"During Christmas, we meet up with family and we eat lunch. It’s during the summer, so we have a barbecue or we go to the beach to swim.",Many people like sleeping in their beds with mandarins. I like eating soup with mochi. But you can get fat if you eat too much mochi.,1,AJ_5,2,1,2,1,"The listener's response does not demonstrate empathy towards the speaker's sharing of their family Christmas traditions. Instead, the listener provides an unrelated statement about their own preferences, which does not acknowledge or validate the speaker's experience or emotions. There are no expressions of understanding or interest in the speaker's situation, which is necessary for cognitive or affective empathy.",1,"The listener's response is unrelated to the speaker's sharing about their family Christmas traditions. There is no acknowledgment or engagement with the speaker's experience. The listener introduces an entirely different topic without showing any understanding or interest in the speaker's emotional state or situation, which does not demonstrate cognitive or affective empathy."
