id,seeker_post,response_post
875,For sure. I had already written off finding my phone but this random person sure surprised me!,Wow. That sure saved you a lot of money on replacing a phone_comma_ too!
877,I have been without water all day at my house.,Oh my_comma_ how are you going to bathe and use the restroom?
879,I have been waiting on the plumber all day and he still hasn't shown up! Im upset!,As you should be! I think you need to call another plumber
881,I just moved to a new city for my job.,That's great! How does that make you feel?
883,I don't know anyone here and there's nothing to do.,You should go out and meet friends! Go out and do hobbies that you like. I bet you'll meet some new friends. Are you in a big city?
885,The new wow expansion just launched.,Are you excited about it?
887,Indeed I am.,Whats new in the game?
890,I am worried about my upcoming court date. :(,I wish I could relate_comma_ but I've never had to go to court. I hope it goes smoothly for you. All I've ever heard is to dress appropriately and to speak as respectfully as you can as possible.
892,Yea that's what my attorney keeps telling me. I don't want to have to pay a large fine.,I hope for your sake that you don't have to_comma_ either. But this doesn't have to define you. How you respond can_comma_ though. If you're mentally tough_comma_ it will be a bump in the road. I guess do whatever you can to maintain healthy focus.
894,I felt really good about myself when i stepped in for my interview last week,That is exactly the way you are supposed to feel. Did you get the job?
896,Yeah_comma_ i got it!,Good for you! Congrats buddy
898,I will be getting paid today!,Nice! That's an odd day to be paid_comma_ but good for you!
900,Yes_comma_ and I will be getting much money. It is a bonus check!,Ooooh I love bonuses. Do you have any fun plans for it?
903,My ex flaked on me again today.,That sucks. Why did he/she do that?
905,He sucks. He was supposed to pick up our son today. I'm glad he is too young to know what happened.,Yeah_comma_ ignorance in youthfulness is sometimes a good thing. That's really terrible of your ex_comma_ though. He should be burned at the stake.
908,On a whim today_comma_ I bought a scratch off card at 7/11,Please tell me you won a lot of money.
910,Not a lot - $100. But that's $100 more than I had when I woke up this morning. I was so surprised I did one of those annoying girly squeals at the check out counter,lol That's how I would of reacted too. One hundred dollars can buy you a lot of stuff.
912,finally got my house_comma_ don't have to deal with apartment living anymore,It must be nice to have a house
914,feels good man,I am sure it does
916,The possibility of winning a lottery this time is high for me,hi_comma_ what makes you think that?
918,Bruh_comma_my instincts can't be wrong. I just have this crazy feeling that i might be lucky this time round.,fair enough my friend_comma_ would you say your chances are high because of signs of other people winning around you recently?
920,I'm so sad because i've read an article about a newborn girl who died because her parents didn't believe in medication and doctors,Ugh_comma_ those articles always get me too... :( What was wrong with her?
922,she was born premature at home_comma_ she had hard time breathing on her own but instead of taking her to the doctor parents were just praying,Jeez! Its so unfortunate... very sad really.
925,I studied hard for the test. I am quite sure that I will get every question correct.,You must have been really prepared to be so certain of achieving a perfect score!
927,Yes i am. I studied really hard,I hope you do get that perfect score_comma_ you deserve it after all!
930,I just found out that my supervisor approved a pay increase for me starting next week! It was completely unexpected and I am elated!,Oh wow! What's better than a raise? A raise you didn't even expect!
932,That's what I am saying! It was a great windfall!,Is it a pretty substantial increase?
934,One time I was giving a presentation and something really embarrassing happened.,Oh_comma_ tell me about it_comma_ please!
936,I started up the presentation and I accidentally copied an inappropriate image into one of the slides..,Oh no! What happened next?
939,So_comma_ last year my parents got me a shotgun for Christmas. I was so stoked!,Wow_comma_ that's interesting. What do you do with it?
941,I take it up to my cabin in Michigan and hunt a bunch of small woodland critters! I like to think of myself as the hunter from Bambi.,Oh no- Well I am the opposite. I rescue bambi and small critters :)
943,My son is turning two in a few months and it has me looking back to when he was first born.,yea they grow up way too fast
945,They really do_comma_ it goes by so quickly.,yea
947,gave her a task she did not fulfil,What?
949,i gave a subordinate a project but she blatanatly declined,Maybe she has too much on her plate?
951,My new foster dog finally run around last night. She has been very abused and starved but is so young.,Aww_comma_ that is so sad to hear. I'm glad that she has a good home now_comma_ though!
953,Thanks! I didn't know how long it would take her to get better or if she would recover quickly from her abuse. A week in- and loads of progress!,That's amazing! I wish more people were willing to do what you're doing to help out our furry friends!
955,During this past spring during a bad storm_comma_ we had a tornado touch down in my neighbors yard.,Oh my gosh! That had to be super scary!
957,It sounded like a train going by the house from the basement. Thankfully no one was hurt.,Yeah_comma_ thank god you are safe. I don't know what I would have done if that happened to me.
959,I have been working on getting into grad school. I have to get all my paperwork together.,that is really such a pain_comma_ i remember when i had to do my paperwork for school it is not fum
961,It's true. They're wanting recommendations from my undergrad degree. Which I completed 5 years ago.,well i really wish you very good luck with all that
963,This week is a big week for me at my job.,Do you think it will be good news or bad news?
965,I should find out if I get a bonus or not. I am hoping its good news!,Very exciting. I hope you get it.
967,I just put in an application to adopt a police dog who failed his training.,I didn't even realize they let you adopt dogs that failed the training_comma_ how did it fail do you know?
969,Typically it's because they're too friendly or don't respond immediately to commands. I know the process to get one is difficult_comma_ but I'm crossing my fingers!,Wow_comma_ I bet it will be a really good dog then. Hopefully you hear something soon!
971,Despite leaving to work with enough time_comma_ the train was out of service and delayed for about 30 minutes,Really? why the delay?
973,Never found out. I ended up very late to work but at least my boss understoof,So sorry about that
975,One of my best friends is moving far away and i dont know when i will be able to see him again,That's so sad! Can you email them?
977,yeah i can call him and email him_comma_ it is just that i dont know when we will see eachother again,Can you see him before he goes?
979,thank you,thank you for what?
981,nothing,okay
983,I was trying a new recipe. I followed the directions but it did not come out right.,Any ideas why? What were you trying to make?
985,I don't think I did anything wrong. It was a dessert I found in a magazine. I sure was let down the picture looked so good I could taste it.,I'm sorry it didn't come out well for you.
987,I feel happy when I am outside in nature,That's wonderful! I do too. I don't take it for granted because I've been battling Lupus for 13 years and in bed a lot. Its an amazing world we have! What is on of your favorite things to do outside?
989,I love to garden. Organic gardening_comma_ I plant peppers_comma_ cucumbers_comma_ tomatoes and a bunch of other goodies.,Sounds wonderful! I really want to take up gardening. It would go with my new lifestyle I've adopted of eating plant based. Do you have tips for a beginner?
992,Starting a new job can be different on my first day last month I can say that was me.,Yea_comma_ a new job is useless pretty stressful.
994,I would say I was more nervous then anything I think the new setting was over whelming but a month later I feel a lot better now.,It will be ok in the end.
996,My family is very happy and loving_comma_ they make me feel very happy.,That is nice. How many brothers and sisters do you have?
998,I feel I can overcome the trials of life if I have them by my side_comma_ I thank God for that and I want to give them my best always. I have 1 sister and 1 brother.,Nice.
1001,my neighbor has this big old dog that keeps pooping huge poops on my driveway,I hate that_comma_ did you ask them to stop
1003,the owners don't care_comma_ they said yes they will keep the dog inside but never do,That isnt good_comma_ sorry
1005,I do not want to go to school on Monday.,Why_comma_ what is happening on Monday?
1007,I have a big exam in my science class.,Those are always stressful_comma_ better study hard!
1009,My friend just got a new girlfriend and I have no idea how he does it. It takes me months to find one_comma_ and it only takes him less than a week to find a good one!,I am sure you will find a great girl soon!
1011,I hope so! I've been trying_comma_ but life tends to get in the way of course.,Just be patient and everything will fall into place.
1013,Life is a lot better when you can eat solid food. Never get your jaw wired shut it sucks.,I can imagine. What happend that you got your jaw wired?
1015,I got punched while drunk without a mouth guard years ago - still think about it !,Man that sounds aweful.
1017,My neighbor is like 90 years old and really shouldn't be driving anything not even lawnmower. He hit my work truck and busted a tail light last night and my blood is boiling!,LOL that is sorta funny though. I can just picture this.
1019,Its so annoying! Like you can tell when you look at my security camera_comma_ he hits trash cans and crap all the time!,Maybe you should sneak over and mow it for him when he isn't home.
1021,Have you ever had a sleep paralysis dream?,Yep! Not really that fun to have since you see things at times.
1023,Yeah_comma_ in mine I saw a smoke looking shadow over me with red eyes staring at me. I've never been more scared in my life.,Man that is scary! Granted i like to hear things about that.
1025,My friends put together the best graduation party for me_comma_ I was so shocked.,Oh that is nice! What happened at the party?
1027,We swam and just enjoyed each others' company.,Oh that's nice! Enjoy summer while it lasts. What did you go to college for?
1029,Yesterday_comma_ someone took the bus without paying. It made me angry.,Why would they do such a thing?
1031,Some person doen't want to pay for anything.,That is so bad_comma_ the police should be called for that.
1033,There's a hard bump on my arm. I don't know what it is.,Have you made an appointment with your doctor?
1035,I'm hoping it goes away_comma_ but you're right. Maybe I should set an appoitment.,I would just to be safe!
1037,I lost my mind and temper_comma_ when i have been told i won't be promoted,That must've really upset you. Did they explain why?
1039,yeah it did_comma_ it was deserved one but they didn't explain and i am so angry right now!!,Definitely take some time to vent out your anger. It's totally undestandable.
1041,My husband had to repair something and we bought a ton of lumber. He was able to carry so much at once!,He must be really strong!
1043,He is! I was so shocked but super attracted to him too!,Sure_comma_ I strong men is very attractive! You must be proud of him!
1045,A close family friend died in a car accident recently. I had know him since I was a kid_comma_ so it was relly painful for me.,I'm so sorry to hear that_comma_ Are you handling it ok?
1047,I'm feeling a bit better everyday. He was always really good to me and my mom growing up_comma_ so I still miss him.,I miss my father just the same_comma_ I suggest going and doing something you both enjoyed doing together. I find I feel closer to them in those moments_comma_ almost like we are still sharing them together.
1049,I have been working so hard on my job!,Oh really_comma_ good for you!
1051,Yes maybe I will receive the promotion.,I hope you do. Good luck!
1053,One day_comma_ I was expecting to get a call from someone later on that day but they never called me.,Who was it?
1055,A friend,Im sorry they did that. That wasn't very cool.
1058,I was so terrified last night! I heard a noise outside my bedroom that sounded like someone was tapping on the window!,That must have been very scary! Did you investigate it?
1060,I did! I nervously peeked outside and found out it was just a bird that was jumping on a tree branch_comma_ which made it hit the window! I thought for sure I'd see a person when I looked out!,lol yeah our minds can play tricks on us when we're nervous. I'm glad it was nothing serious though.
1062,last week i attended a job interview with tesla,Cool! How did it go?
1064,it went well above my expectations,Great! I hope you get the job. I'll be rooting for you!
1067,I am fortunate that I had good parents growing up.,You are
1069,Yes_comma_ they both were educated and taught me well.,i had one parent like that
1071,I am as happy as a clam right now. My neighbors are away for the weekend!,are they typically bad or something?
1073,The live upstairs and constantly thump around_comma_ screeching into their cellphones. And then there's the video games...,Oh that makes sense_comma_ well enjoy the peace and quiet!
1076,god_comma_ im at the lowest point i've ever been in my life,I'm so sorry. You should talk to a therapist.
1078,yeah_comma_ im going to need to. my girlfriend said no when i asked her to marry me,I'm sorry. Maybe she just needs time to process things.
1081,That one luggage bag that my passed uncle gave me as a present when i was about to start my college life away from home_comma_ i discarded it today as it became very old. It was the only reminder of him,Oh no! Why didn't you keep it in the attic or something?
1083,It became unusable. I just decided it was its time to be thrown. I feel my uncle was here himself_comma_ not his reminders,Oh I see. I bet it was a sad day then.
1085,My friend and I both did a low-carb diet last month. She lost 8 pounds. I gained 2!,Wow_comma_ great for her! I am confused as to how you ended up GAINING though!
1087,I dunno. Water weight? She looks so good now. I'm really envious.,Well_comma_ keep at it and you will get where you want to be. It really just comes down to how many calories you take in vs. how many calories you burn per day.
1089,My wife is very nice to everyone she meets,That's awesome! She sounds very nice then.
1091,I think she will be a nun in her next life because loving people is in her dna,It's so nice to find someone that caring and kind!
1093,i was pissed to see a dent in my car door the other day,Oh no! What happened?
1095,someone hit it at the grocery store,Oh jeeze. Did they catch them on film? Hopefully insurance will take care of it.
1097,i was inbed last night and heard a loud bang in the kitchen,Did you get up to check it out?
1099,yeah i was sneaking in there when i found the cat looking as guilty as can be,That would have scared me. At least it wasnt an intruder.
1101,A few years back_comma_ my husband was diagnosed with viral meningitis and then while in the hospital he got Bells Palsy.,Yikes_comma_ door guy can't catch a break. Is he ok?
1103,Yes_comma_ he's ok now. It was a very anxious time though because for awhile we did not know if it was bacterial or viral. He still has some residual issues from the Bells Palsy_comma_ but it's really only noticeable when he gets tired.,Wow_comma_ thank god he's on the up and up. I can't imagine how rough that must have been.
1105,I didn't get the promotion I work hard for at work.,Me neither_comma_ how do you feel about it?
1107,I was pretty upset_comma_ but I will just try harder next time.,me too_comma_ best of luck!
1109,My daughter recently broke curfew by three hours!,that must've made you so furious
1111,I was super angry_comma_ yes! I ended up grounding her for three weeks- one week for each hour she was late.,you sure are a very strict parent.
1113,I ordered pants online that I thought would fit_comma_ and they didn't!,Lol_comma_ what a bummer. What happened?
1115,Apparently my legs grew and I didn't notice! I do workout four days a week.,Well there you go_comma_ at least you a got a positive out of a negative situation haha!
1118,I am at a cross road. I am trying to decide my major in college.,That's a big decision! What are your choices?
1120,I was thinking about graphic design. Or_comma_ I was going to do something practical like Nursing.,If you want my advice - choose something you're going to enjoy. I personally couldn't be a nurse - too messy!
1123,I was outside playing with my dogs earlier. Throwing the ball around_comma_ they got so playful and ran around as fast as they could!,That's so cool! I really wish I had a dog!
1125,They are the best! Cats are also great though,I really like cats but I want a dog at some point.
1127,I was at a family gathering one time and an uncle gave me a red drink that I thought was strawberry.,How old are you?
1129,I am old enough to party. Well it turns out the drink was actually veggie soup...,Ah ok_comma_ it is fine
1131,I went grocery shopping like I usually do today_comma_ but I did something different.,Oh_comma_ that's curious... By different_comma_ what do you mean? Did you buy different stuff_comma_ or go to a different store_comma_ or what?
1133,"I never wanted to be the ""grocery list"" person_comma_ but I did it today and its the first time in years I didn't forget something. I shouldve beem doing this all along especially with three kids.",Oh yeah_comma_ totally. And then you don't end up buying too much or too little_comma_ and you don't waste time trying to remember things. There's also tons of little apps on your phone you can get that can make it really streamlined and convenient.
1135,I have so many apps_comma_ but I get frustated with technology easily. I think the list thing might work out after all,I'm sorry to hear that. Maybe give it one more try_comma_ and if you continue to like it_comma_ that might be your sign to stick with it. Good luck!
1137,I'll filled with hope whenever I've been in church.,Good for you. Religion can be a source of hope and optimism for many people in times of distress
1139,Yeah_comma_ very good stress relief. So I never miss any Sunday!,I also try to find some time and attend church services whenever possible
1141,I was grateful when I married my wife,I bet. I was the same way. How did you guys meet?
1143,We met at a store,Nice. That's a relatively unique way to meet. What store?
1145,I interviewed for a new job and the interview went really well.,That's great to hear. What made you think it went well?
1147,The interviewer made all the comments you'd expect from a good interview and seemed to respond well to my answers.,Those are good signs! Sounds like you hit it out of the park!
1149,I tripped in fell face first at a bar last night.,Oh no! Were you drunk!
1151,Maybe.,Did you wake up with a big bruise?
1153,Just my pride.,It happens. Have to be careful sometimes.
1155,i was sad when i had to miss my sons game,I bet you were_comma_ but I am sure you had a good reason.
1157,yea they wouldnt let me out of work on time,That's too bad. I am sure your son understood though.
1159,I was very grateful when my dad got me my first glove. It was for baseball and just very glad he got it for me,Parents can be awesome sometimes. Do you still play baseball?
1161,Not in a long time_comma_ I just watch it,Who's your favorite team?
1163,My girlfriend and I were at a party Friday night. I couldn't find her anywhere_comma_ and got worried.,Where was she?
1165,In a spare bedroom with her ex_comma_ laying on the bed and kissing him.,Does she have a new ex now?
1168,I was at the airport and someone cut me in line. It was ridiculous.,Oh_comma_ no! That stinks!
1170,Yeah! Haha_comma_ they only saved themselves about 20 seconds.,Haha! It's good you could see the big picture in a stressful situation.
1172,i had to send my food back at the resturaunt today,thats really annoying to deal with
1174,i usually dont complain my chicken was really under cooked. it was pink and raw,still tho thats dangerous
1176,I went to a friend's wedding this weekend!,Was it a lot of fun?
1178,Oh gosh yes. I wore a beautiful dress. I felt so pretty!,That's great_comma_ but you don't have to wear a fancy dress to be beautiful. I'm sure you're gorgeous no matter what you wear!
1180,Thank you! I feel like a slob lately.,It's ok_comma_ just try your best to remind yourself how beautiful you are and practice self-care as a habit.
1182,Today wasnt a good day,Why was it not a good day? What happened?
1184,The doctor recommended hospice for my grandad today,Oh_comma_ I'm so sorry to hear that. My father in law had to have hospice and although it's not what you want to hear_comma_ the people that work with hospice are really a lifeline for the family.
1187,I always get nervous when I drive. The possibility of getting into a car accident is nerve wrecking.,I hate driving_comma_ I avoid it as much as possible.
1189,I think it has to do with seeing a lot of car accidents when I was little.,Mine was from being in one and just being nervous about having to be in charge of things.
1191,i was happy when i got the day off!,That's awesome! Was it a surprise for you as well?
1193,yea i wasnt expecting it,I'm happy for you!
1195,I found a photo of my grandfather who past away 10 years ago recently and I a feeling very nostalgic thinking back on the days we spend together,I'm sorry to hear that he passed away_comma_ but I'm glad that you have good memories of him.
1197,Yeah he used to take me to the park on weekends and we would always get ice cream after all that running around!,That is heartwarming. You are lucky to have had such a loving grandpa!
1199,When my wife and I got married_comma_ we knew we wanted to have kids. When we found out that we were expecting_comma_ the only thing on our mind for the longest time was if we were having a boy or a girl.,What exciting news! Did you find out ahead of time what the gender of the baby was?
1201,We did! We were living in Japan at the time_comma_ and we were paying this clinic 2000 yen a week so we could keep getting ultrasounds of the baby.,What is 2000 yen equal to in U.S. currency?
1203,At the time_comma_ the exchange rate was about 110 yen to the dollar_comma_ so it was pretty affordable_comma_ and worth it to keep going back.,It sure sounds like it. I think healthcare in Japan is much more affordable that here in America_comma_ do you agree?
1205,I wouldn't be able to tell you_comma_ since I wasn't under their healthcare system. This was just a women's clinic that offered this service pretty cheaply.,Oh_comma_ okay_comma_ well I watched a documentary about healthcare in other countries. I understand that doesn't apply here.
1207,My friend lost her cat on Monday. We called the shelter_comma_ and they say they might have a cat that matches our description.,That's good news. Is her cat microchipped?
1209,No_comma_ unfortunately not. We hope that's her.,How long has the cat been missing?
1211,I have a court date next week and I don't know what's going to happen. I really want custody of my kids.,Oh no! I really hope it goes well for you! That must be so stressful!
1213,It really is. The 'opposition' really hates me so she is trying to keep from them.,I'm sorry. That is a really tough situation. I'll be thinking of you and hoping for the best.
1215,I pray I make the soccer team this year.,I'm sure you will. Have you been training?
1217,Yes_comma_ everyday for two hours.,Do you think that's enough?
1219,I was so mad when i found out my cousin asked out my girlfriend once,damn_comma_ thats sick and rough.. He knew you guys were together?
1221,Sort of_comma_ yes. He did it anyways. I yelled at him.,Can't say he did not deserve that..
1223,I have such a great family,That's good to hear_comma_ one of the best advantages you can have in life
1225,No doubt_comma_ it makes life so much easier,And they're all you got in the end!
1227,I am impressed by the idea of the Nintendo Switch_comma_ it seems really cool and seamless,I like it too_comma_ what is your favorite game?
1229,I think it is a mix of Zelda_comma_ Fortnite_comma_ and Splatoon,I like those games too!
1231,I've worked as a programmer for the last 7 years and this year's review was finally all positive!,That is awesome to hear _comma_ i bet the pays good too
1233,Hmm ya I make more than my parents which is all I ever really asked out of life though sadly less than I would make in a bigger town.,if your happy there i would stay if not seek the better pay in a different town
1236,3-3_comma_ final game decides it all_comma_ final game till promotion_comma_ time ticking_comma_ palms sweating_comma_ final minute and just as we are about to win it all_comma_ to finally reach that noble masters rank_comma_ my team mate fails to make the correct decision and we lose_comma_ it all just crumbles to the ground like rocks falling from the sky_comma_ my dream gone,wow thats vivid_comma_ what game was this?
1238,league of legends_comma_ my other addiction_comma_ other than my fiance,ah yes league_comma_ love hate relationship with that game but after 4 years it can really still tilt me more and more
1240,I just adopted this rescue dog. He's a sweet and timid little dachshund missing one leg. He's precious.,That is so sweet. How did he lose his leg?
1242,He was found with a wire in it because he got caught in it. It was too infected to save. It doesn't seem to bother him not having it.,I've heard that it doesn't bother them to lose one limb. I watch Dr. Jeff on Animal Planet a lot and that is what he says.
1244,I once went to relieve myself in the bathroom of a bar and saw vomit all over almost every surface. If I hadnt immediately run out of there I would have definitely ended up contributing to the mess.,These places should have them clean_comma_ because it is inevitably; these things happen
1246,They do. I just feel sorry for the poor guy who had to clean it!,There are jobs that are hard
1248,I was really nervous to move across country.,why were you so nervous
1250,Knew noone where we were moving_comma_ and also far away from my mother_comma_ who is getting old.,noone knew that you were moving?
1252,oh sorry_comma_ we knew no one where we were moving to.,oh_comma_ that has to be scary
1254,Amazingly lol. But here I am.,here you are_comma_ killing it
1256,My sister just had surgery last week.,I hope it went well!! she is alright now right?
1258,It did go pretty well_comma_ but she is still in a lot of pain_comma_ so I am staying with her to help with kids and housework.,that's just nice of you!! helping out your sister!!
1260,Someone has knocked on my door in the middle of the night the past two nights. It is kind startling and scary.,Did they knock and leave?
1262,Yea I didnt see anyone there by the time I got to the front.,You should put a camera there. You can see it from your phone.
1264,when i don't know what's going to happen it gives me so much stress,I completely understand
1266,it's like the first day at a new job or in a doctor's office waiting room,I feel for you and hope you have a way to manage it
1269,You know how sometimes things don't go as planned_comma_ but it feels like they turn out better in the end?,Yes_comma_ some people call it fate.
1271,You could call it that! I was supposed to go to a social event_comma_ but it got rained out and I ended up watching the rain for hours with my girlfriend.,That sounds so romantic!
1273,I just found out the small company I work for is going out of business. I cried all day Friday when I found out because I love working for them,I am so sorry to hear this. I am sure you will find another job_comma_ but it doesn't make it any less painful.
1275,I am worried about finding another job too because I don't have a degree for what I was doing because they taught me how to do it so now I'm not sure who will demand I have a degree.,Just have faith_comma_ I am sure it will all turn out!
1277,I hate when people talk to me!,Now I feel bad about talking to you. Do you mind talking to me?
1279,I do not mind you_comma_ but they always approach me!,Who are these people?
1281,My boyfriend just turned around the other day and proposed to me while we were taking a walk!,You must be the luckiest girl on earth
1283,I sure feel like it! It was definitely unexpected but I'm thrilled! He got be a beautiful ring with a diamond in it from his grandmother.,Congratulations girl :)
1285,My dog pooped on the floor after I let her in the house.,That's a tragedy! What ever did you do?!?!
1287,I told her she was a bad dog and had to clean it up.,Serves her right! These animals can't go around thinking they can poop on our things!
1289,I do not know if it is stupid to do but i handed my things to a stranger to look out for it,What? why would you do that.
1291,I just feel like he is the next person available and i asked for his help,You are so bold. I can't do it.
1293,I went on what I thought was a horrible interview. They called me today with an offer! that caught me completely off guard.,That's wonderful!
1295,It is. I thought I did terrible but I guess not.,That shows how lucky you can be!
1297,i felt bad when i couldnt get a gift my daughter wanted,I am sorry_comma_ what did she want
1299,a horse,Oh wow_comma_ that is a lot
1301,I behaved immature during the fight lately and lied_comma_ later on I felt remorse.,That sounds awful. Who was it you wronged?
1303,It was my wife_comma_ sadly. I explained to her later and admitted my mistake.,Was she understanding and forgiving?
1305,I borrowed a book from the library the other day but I left it outside,That's a dang shame. Did it get rained on?
1307,Yes it did_comma_ unfortunately,That's too bad. Well_comma_ on the bright side_comma_ maybe a hobo will find it_comma_ read it_comma_ enlighten himself_comma_ and get a job at McDonalds.
1309,My spouse want a divorce from me.,That's sad_comma_ did they say why?
1311,He never wanted to stay with me. I fed up with his decision.,How long have you been married?
1313,I love to see fammilies show affection with each other,Yes. It is very endearing. Our family are the first people we experience in life.
1315,It is. I love to see young kids showing love.,ah you are a softy for the kids I see.
1317,My dog pooped on the rug today.,Oh that's so aggravating_comma_ my dog still has accidents but not many
1319,Yeah_comma_ she doesn't do it often_comma_ but she ruined the rug. I was so sad.,That's terrible but the rug is replaceable.
1321,i was crushed when i couldnt get out of work on time,Nothing feels worse than losing time to work when you should be free.
1323,yea_comma_ it sucks.,Hopefully they at least paid you overtime.
1325,I was so happy when my wife surprised me with preseason football tickets.,Now that's quite a gift! Are you going to take her to any games as a thank you?
1327,Oh yeah_comma_ I definitely want her to join me. We've gone to a lot of tailgate events_comma_ too. Going to be a great football season!,I've been looking forward to it starting too. Not a lot going on at the moment. But that's wonderful to hear!
1329,My sunday was great. All my chores were done ahead of time. It was a rare and welcomed day.,that is awesome. sundays are usually my veg out days.
1331,I wish I could more often_comma_ but it rarely happens. Especially during the summer. My yard grows like literal weeds.,mine is going crazy with mosquitos
1333,ouch! I would not have had a relaxing sunday if my yard was that way.,i tried to trim my tomato leaves yesterday but i got bit up so bad i ran back inside
1335,My father passed away over the winter and we are huge baseball fans. This is the first season not watching games with him.,Oh my goodness that is so sad_comma_ I am sorry to hear about your father. Are you handling him being gone okay?
1337,I am but baseball has kind of thrown it out of sorts. We really enjoyed going to games together when I was growing up.,I understand completely. I hope that you can enjoy going to more games_comma_ and carry on his spirit when you go.
1339,I always try. Thank you for lending an ear.,Always!
1341,I wish my mother never left as a kid.,Why did she leave?
1343,No idea_comma_ she never told any of us and just dissapeared.,Did you Dad stick around?
1345,My daughter called and said my grandson had to have a chest xray because he was having trouble breathing. I was so worried I didn't know what to do with myself.,Oh no_comma_ have you been able to calm yourself down?
1347,She called several hours later to let me know everything was ok. I worry even more because they live so far away.,I can understand that_comma_ I think I would be a mess too.
1349,I know I will win my court case.,If you are very sure about it. I know you will!!
1351,I expect to get a lot of money.,Good for you. I hope you will
1353,Someone tried to steal the tailgate off of my truck last night.,oh my were they able to take it?
1355,He set my alarm off some how and then dropped it and ran,what a fool. where the cops able to catch him?
1357,No_comma_ He made a clean get away.,that stinks. hopefully he won't try it again on you or anyone else for that matter.
1359,Who knows. I hope not.,me either. i'm sorry you had to go thru that.
1361,I really care about my brothers_comma_ our bond is closer than most I feel like,thats what the love and family bond i think
1363,Yeah_comma_ it is very special to a lot of people_comma_ blood is thicker than water,accepting .. but not in my case.. you are lucky i guess
1365,I am happy I have a home without a landlord and can do what I want_comma_ like rescue animals.,I'm glad you can do what you're passionate about. What kinds of animals do you rescue?
1367,Any kind that needs help and happens to fall on my doorstep. I even feed all the wild critters I can :),That sounds so fun. I hope I can do that some day_comma_ too!
1369,Had my daughter over a couple weekends ago. She had brought a scrapbook she put together herself of us.,very cool! how old is she?
1371,She is 19. I thought that was so nice of her. We had a nice time looking through the pics and talking about the good ole days.,that's incredibly thoughtful!
1374,I didn't feel well after I was told that I did not get the promotion I was expecting.,I am sorry to hear that. Why didn't you get the promotion?
1376,There were several other people that have more seniority than me_comma_ so it makes sense_comma_ still disappointing.,It shouldn't be based off the seniority. It should be based off skill and If you had the skill you should have gotten it.
1378,I went to an musical competition. one such a Musical voice is repeating in my mind from yesterday.,I could never ever sing.
1380,Me too_comma_ my voice is also didn't match with music.,I can barely even talk!
1382,I studied hard for this test so im ready to take it,That's good_comma_ think you're gonna get an A?
1384,hopefully i will_comma_ feeling like im good to go,Yeah hopefully you do pretty well at least.
1386,I went to a hockey game with my five year old son earlier this year. I had to bring lots of supplies!,Oh yeah? Do you have to do that every game?
1388,When I have my son with us I do! My husband was shocked when he said he wanted his blanket and I pulled one out of my purse!,Thats funny. Well at least it sounds like you are always prepared.
1390,Not too long ago_comma_ I took a trip on a plane. The airline lost my whole suitcase!,Oh man! how long did it take to get your stuff back?
1392,The whole vacation! I was so upset! I didn't have anything to wear for the duration.,Oh wow_comma_ that can sure put a damper on things.
1394,My friend is visting and said she made me something good. I want it to be cake so bad.,what kind of cake do you like?
1396,I like the melt in your mouth kinds. Doesn't matter what kind.,haha me too_comma_ never met a cake i didn't like.
1398,I never thought I would be where I am today. If you would have told me I would go back to school at 27_comma_ I would have thought you were crazy.,why did you go back?
1400,I had always wanted to be an electrical engineer_comma_ but had settled for life in the service industry (not knocking it). I re-taught myself basic algebra_comma_ and was accepted to a state university two years ago!,good for you_comma_ best of luck!!
1402,Not eating doughnuts was part of my diet.,Lol that's a really good thing to not have in a diet!
1404,Yeah_comma_ but I ate some anyway.,NOOO YOU QUITTER!!!! jkjk treat yourself!
1406,I stepped in some dog poop walking in my neighborhood the other day.,That's disgusting_comma_ I would have a very hard time finishing that walk. Did you go straight home?
1408,Yes I was wearing sandals so I went home to wash it off ASAP.,Oh my gosh_comma_ that makes it so much worse! I have done that before too_comma_ so I hope that neither one of us has that happen again!!
1410,My dog got hit by a car.,Really? I'm so sorry to hear that
1412,Yeah. He didn't survive. I really miss him,Hope everything gets better soon
1414,I was playing in the kitchen and accidentally broke my moms vase.,you shouldn't' have been playing in the kitchen
1416,I know I feel so badly about it.,You should
1418,You cannot believe_comma_ what I just did. I wanted to surprise my friend at his new house_comma_ but I was at the wrong his. So instead_comma_ I surprised a complete stranger.,That's so funny! How did they react when you did that?
1420,They were surprised_comma_ I apologized and exited the house as fast as I can. My face was red.,I would've been so embarrassed if that was me. At least you've got a funny story to tell people.
1423,I was on the bus the other day and saw the grossest thing.,what was it?
1425,Someone left something and it started molding and was growing so much.,Ah that is disgusting!
1428,I was terrified when we had a major ice storm_comma_ our electricity was out for weeks!,oh no! we went through the same thing last december
1430,It's scary_comma_ unless you are prepared_comma_ you're wondering how to live life without it.,i know thats right_comma_ i dont know how they survived without electric
1432,Man I felt good when I applied for my job!,How did it go? That's an anxiety-inducing but hopeful situation!
1434,No I was very assured in my interview. I got the job_comma_ probably because of my attitude.,Congratulations! Enjoy the new gig! Good things happen to good people.
1436,I could definitely feel it going to other way if I was defeatist in my interview.,Being defeatist is never a good move. Honestly_comma_ once you've got your foot in the door I think it's all about personality.
1438,It can be_comma_ but personality can't make up for incomptence either.,I would argue most good employers can diagnose incompetence from the first or second conversation. If they can't_comma_ maybe they aren't good employers.
